qseqid	sseqid	qstart	qend	sstart	send	evalue	bitscore	pident	qcovs	slen	qlen	q_perc_aligned	overlapped_bases	coverage_percentage	bases_covered	gene_name
15_R	AP021970.1	6413	60850	1	54456	0.0	95078.0	98.715	70	253831	78036	0.697601107181301	0	40.29%	102278.00	IncFII_pKP91__1_pld1
24	AP021970.1	10966	17994	90618	97646	0.0	12672.0	99.986	39	253831	17994	0.3906302100700233	0	40.29%	102278.00	IncFII_pKP91__1_pld1
23_R	AP021970.1	1	18026	99036	117061	0.0	32472.0	99.956	92	253831	19616	0.9189437194127243	0	40.29%	102278.00	IncFII_pKP91__1_pld1
38	AP021970.1	1	2030	169271	171300	0.0	3589.0	99.212	100	253831	2030	1.0	0	40.29%	102278.00	IncFII_pKP91__1_pld1
22_R	AP021970.1	1	20738	171301	192037	0.0	37260.0	99.855	95	253831	21725	0.9545684695051784	0	40.29%	102278.00	IncFII_pKP91__1_pld1
15_R	AP022158.1	6413	60850	1	54456	0.0	95083.0	98.717	70	242118	78036	0.697601107181301	0	38.56%	93371.00	IncFII_pKP91__1_pld1
22_R	AP022158.1	836	21725	94739	115627	0.0	37516.0	99.837	96	242118	21725	0.9615650172612198	0	38.56%	93371.00	IncFII_pKP91__1_pld1
23	AP022158.1	1591	19616	160660	178685	0.0	32472.0	99.956	92	242118	19616	0.9189437194127243	0	38.56%	93371.00	IncFII_pKP91__1_pld1
15_R	AP022554.1	7342	34580	1	27242	0.0	48976.0	99.89	35	190035	78036	0.3490568455584601	0	63.41%	120495.00	IncFII_pKP91__1_pld1
27_R	AP022554.1	1	8792	46094	54885	0.0	15856.0	100.0	100	190035	8792	1.0	0	63.41%	120495.00	IncFII_pKP91__1_pld1
24	AP022554.1	10965	17756	89052	95844	0.0	12008.0	99.22	38	190035	17994	0.377459153051017	0	63.41%	120495.00	IncFII_pKP91__1_pld1
23_R	AP022554.1	1	19616	98759	118368	0.0	35186.0	99.786	100	190035	19616	1.0	0	63.41%	120495.00	IncFII_pKP91__1_pld1
22	AP022554.1	1	21725	119758	141482	0.0	39156.0	99.977	100	190035	21725	1.0	0	63.41%	120495.00	IncFII_pKP91__1_pld1
19_R	AP022554.1	3493	38393	145156	180056	0.0	62662.0	99.822	91	190035	38393	0.9090459198291356	0	63.41%	120495.00	IncFII_pKP91__1_pld1
42	AP022554.1	1	1432	180495	181926	0.0	2583.0	100.0	100	190035	1432	1.0	0	63.41%	120495.00	IncFII_pKP91__1_pld1
58_R	CP024483.1	1	372	4886	5257	0.0	672.0	100.0	100	243634	372	1.0	0	94.57%	230401.00	IncFII_pKP91__1_pld1
56_R	CP024483.1	2	417	5259	5674	0.0	746.0	99.76	100	243634	418	0.9952153110047848	0	94.57%	230401.00	IncFII_pKP91__1_pld1
82_R	CP024483.1	1	163	5676	5838	1.28e-77	295.0	100.0	100	243634	163	1.0	0	94.57%	230401.00	IncFII_pKP91__1_pld1
53	CP024483.1	1	438	13392	13829	0.0	791.0	100.0	100	243634	438	1.0	0	94.57%	230401.00	IncFII_pKP91__1_pld1
65_R	CP024483.1	1	267	13830	14096	7.959999999999997e-134	482.0	100.0	100	243634	267	1.0	0	94.57%	230401.00	IncFII_pKP91__1_pld1
42_R	CP024483.1	1	1432	14097	15528	0.0	2583.0	100.0	100	243634	1432	1.0	0	94.57%	230401.00	IncFII_pKP91__1_pld1
53_R	CP024483.1	1	438	15529	15966	0.0	791.0	100.0	100	243634	438	1.0	0	94.57%	230401.00	IncFII_pKP91__1_pld1
19	CP024483.1	1	38393	15967	54359	0.0	69138.0	99.943	100	243634	38393	1.0	0	94.57%	230401.00	IncFII_pKP91__1_pld1
38	CP024483.1	1	2030	54360	56389	0.0	3644.0	99.803	100	243634	2030	1.0	0	94.57%	230401.00	IncFII_pKP91__1_pld1
22_R	CP024483.1	1	21725	56390	78114	0.0	39179.0	100.0	100	243634	21725	1.0	0	94.57%	230401.00	IncFII_pKP91__1_pld1
46	CP024483.1	1	1108	78156	79263	0.0	1999.0	100.0	100	243634	1108	1.0	0	94.57%	230401.00	IncFII_pKP91__1_pld1
79_R	CP024483.1	1	179	79264	79442	2.95e-86	324.0	100.0	100	243634	179	1.0	0	94.57%	230401.00	IncFII_pKP91__1_pld1
23	CP024483.1	1	19616	79504	99119	0.0	35376.0	100.0	100	243634	19616	1.0	0	94.57%	230401.00	IncFII_pKP91__1_pld1
79	CP024483.1	1	179	99181	99359	2.95e-86	324.0	100.0	100	243634	179	1.0	0	94.57%	230401.00	IncFII_pKP91__1_pld1
46_R	CP024483.1	1	1108	99360	100467	0.0	1999.0	100.0	100	243634	1108	1.0	0	94.57%	230401.00	IncFII_pKP91__1_pld1
24_R	CP024483.1	1	17994	100509	118505	0.0	32405.0	99.944	100	243634	17994	1.0	0	94.57%	230401.00	IncFII_pKP91__1_pld1
58_R	CP024483.1	1	372	118506	118877	0.0	672.0	100.0	100	243634	372	1.0	0	94.57%	230401.00	IncFII_pKP91__1_pld1
56_R	CP024483.1	1	418	118878	119295	0.0	755.0	100.0	100	243634	418	1.0	0	94.57%	230401.00	IncFII_pKP91__1_pld1
