qseqid	sseqid	qstart	qend	sstart	send	evalue	bitscore	pident	qcovs	slen	qlen	q_perc_aligned
4	CP125156.1	128508	386744	3517010	3775127	0.0	4.588e+05	99.426	53	5369247	487953	0.5292251507829647
4	NZ_CP129873.1	128508	375459	379950	626885	0.0	4.397e+05	99.491	51	727204	487953	0.50609792336557
4	NZ_CP129740.1	192307	380628	6526	194822	0.0	3.354e+05	99.506	39	228963	487953	0.38594290843585344
4	NZ_OP378650.1	128508	288851	96263	256566	0.0	2.851e+05	99.436	33	256681	487953	0.32860541896453144
7	NZ_CP138704.1	24462	135307	35005	145828	0.0	1.959e+05	99.212	37	146146	302251	0.36673493222520354
7	CP125156.1	24462	135307	2200872	2311701	0.0	1.955e+05	99.125	66	5369247	302251	0.36673493222520354
7	CP125156.1	136156	226200	2313676	2403708	0.0	1.595e+05	99.311	66	5369247	302251	0.2979146470979418
9	CP125156.1	1	90647	4744792	4835406	0.0	1.618e+05	99.618	85	5369247	197607	0.4587236282115512
9	CP125156.1	121215	197607	4867062	4943410	0.0	1.356e+05	99.404	85	5369247	197607	0.38659055600257075
12	NZ_CP065174.1	22117	99122	71322	148327	0.0	1.389e+05	100.000	71	216731	108314	0.7109514928818066
12	NZ_CP065163.1	42325	108314	129240	195230	0.0	1.190e+05	99.998	100	250975	108314	0.6092471887290655
12	NZ_CP065163.1	1	42324	85006	127329	0.0	76327	100.000	100	250975	108314	0.39075281127093453
12	CP128737.1	1	36034	60014	96028	0.0	62326	98.382	33	241818	108314	0.3326809092084126
12	NZ_AP022015.1	4636	38513	91187	125059	0.0	59872	99.203	31	346351	108314	0.31277581845375485
12	NZ_CP155708.1	1	36034	44747	80811	0.0	57254	95.240	33	217970	108314	0.3326809092084126
13	NZ_CP048109.1	2	56263	210914	267208	0.0	98065	98.643	56	281962	99689	0.5643752068934386
13	NZ_CP065163.1	1	52863	198113	250975	0.0	95332	100.000	98	250975	99689	0.5302791682131429
13	NZ_CP065163.1	55091	99689	39211	83808	0.0	80271	99.926	98	250975	99689	0.4473813560172135
13	NZ_CP065174.1	54801	99689	2055	46943	0.0	80447	99.759	76	216731	99689	0.45029040315380836
13	NZ_CP065174.1	22169	52863	186038	216731	0.0	55347	99.997	76	216731	99689	0.3079075926130265
13	NZ_CP155708.1	10	41851	161631	203484	0.0	72416	98.385	42	217970	99689	0.41972534582551735
13	NZ_CP032223.1	731	49301	99457	148094	0.0	69898	91.896	49	201149	99689	0.4872252705915397
13	NZ_LN824134.1	731	49292	95982	144642	0.0	69896	91.876	49	279305	99689	0.48713498981833503
13	NZ_LN824134.1	682	41851	95944	137122	0.0	59030	91.830	49	279305	99689	0.4129843814262356
13	NZ_CP091588.1	731	49301	122724	171327	0.0	69890	91.926	49	196916	99689	0.4872252705915397
13	NZ_CP143910.1	731	49292	168975	217510	0.0	69849	91.907	49	261432	99689	0.48713498981833503
13	NZ_CP143920.1	731	49292	168975	217510	0.0	69849	91.907	49	261432	99689	0.48713498981833503
13	NZ_CP018339.1	731	49292	139506	188166	0.0	67312	90.698	49	204862	99689	0.48713498981833503
13	NZ_CP026398.1	731	44625	79049	123042	0.0	60347	90.448	44	249238	99689	0.4403193933132041
13	NZ_CP072516.1	731	41851	113998	155129	0.0	59085	91.903	41	259774	99689	0.4124928527721213
13	NZ_CP113217.1	731	41851	137255	178386	0.0	59085	91.903	41	254258	99689	0.4124928527721213
13	NZ_CP113212.1	731	41851	170536	211667	0.0	59076	91.898	41	249782	99689	0.4124928527721213
13	NZ_CP098156.1	731	41851	2564	43695	0.0	59061	91.893	41	285768	99689	0.4124928527721213
13	NZ_CP136255.1	731	41851	161788	202919	0.0	59061	91.893	41	289219	99689	0.4124928527721213
13	NZ_CP136249.1	731	41851	161788	202919	0.0	59061	91.893	41	289219	99689	0.4124928527721213
13	NZ_CP155656.1	731	41851	47178	88309	0.0	59052	91.889	41	331181	99689	0.4124928527721213
13	NZ_CP097678.1	731	41843	59449	100577	0.0	59047	91.890	41	288415	99689	0.41241260319593936
13	NZ_MF150122.1	731	41851	153850	194982	0.0	59024	91.872	41	205089	99689	0.4124928527721213
13	CP113221.1	731	41851	194142	235249	0.0	58946	91.864	41	306166	99689	0.4124928527721213
13	NZ_CP027156.1	731	41734	11991	53006	0.0	58916	91.907	41	184525	99689	0.41131920272046063
13	NZ_CP031818.1	4	33827	371037	404873	0.0	57003	97.354	34	430829	99689	0.3392952080971822
13	NZ_CP089098.1	2011	41851	83956	123832	0.0	54825	90.541	40	330084	99689	0.39965292058301316
13	CP128737.1	20796	50990	206175	236349	0.0	53885	99.579	30	241818	99689	0.3028919941016561
13	NZ_CP075559.1	731	37887	813	37967	0.0	53012	91.680	37	317811	99689	0.37272918777397707
13	NZ_CP110146.1	731	36359	159535	195168	0.0	51040	91.810	36	273252	99689	0.35740151872322923
13	NZ_CP084804.1	731	33810	273097	306199	0.0	44966	90.179	33	332984	99689	0.33183199751226317
13	NZ_CP098127.1	731	33810	30314	63415	0.0	44878	90.128	33	265595	99689	0.33183199751226317
13	NZ_CP129826.1	731	33810	188222	221323	0.0	44878	90.128	33	385786	99689	0.33183199751226317
13	NZ_CP093459.1	731	33810	330083	363184	0.0	44840	90.110	33	388130	99689	0.33183199751226317
13	NZ_CP092398.1	731	33810	110595	143697	0.0	44822	90.083	33	307227	99689	0.33183199751226317
13	OW968375.1	731	33810	181936	215037	0.0	44815	90.082	33	492580	99689	0.33183199751226317
13	OW968459.1	731	33810	179634	212735	0.0	44815	90.082	33	239544	99689	0.33183199751226317
13	OX030749.1	731	33810	242140	275241	0.0	44815	90.082	33	302049	99689	0.33183199751226317
13	NZ_CP066911.1	731	33810	195789	228891	0.0	44813	90.086	33	302656	99689	0.33183199751226317
13	OW849184.1	731	33810	240804	273905	0.0	44810	90.079	33	300713	99689	0.33183199751226317
13	OW849221.1	731	33810	240805	273906	0.0	44810	90.079	33	300726	99689	0.33183199751226317
13	OW849335.1	731	33810	240805	273906	0.0	44810	90.079	33	300714	99689	0.33183199751226317
13	OW849395.1	731	33810	242742	275843	0.0	44810	90.079	33	302663	99689	0.33183199751226317
13	OW849422.1	731	33810	240833	273934	0.0	44810	90.079	33	300742	99689	0.33183199751226317
13	OW968260.1	731	33810	187036	220137	0.0	44810	90.079	33	246978	99689	0.33183199751226317
13	OW968436.1	731	33810	235686	268787	0.0	44810	90.079	33	295607	99689	0.33183199751226317
13	OW968204.1	731	33810	236435	269536	0.0	44805	90.076	33	296344	99689	0.33183199751226317
13	NZ_CP068707.1	731	33810	66132	99232	0.0	44779	90.064	33	324396	99689	0.33183199751226317
13	NZ_CP068690.1	731	33810	66132	99232	0.0	44779	90.064	33	302690	99689	0.33183199751226317
13	NZ_CP068685.1	731	33810	66361	99461	0.0	44779	90.064	33	263776	99689	0.33183199751226317
13	OW967777.1	731	32184	284143	315601	0.0	43948	91.029	32	336901	99689	0.3155212711532867
13	OW967996.1	731	32184	284143	315601	0.0	43948	91.029	32	336901	99689	0.3155212711532867
13	NZ_CP020902.1	1817	33810	33459	65475	0.0	43362	90.098	32	338512	99689	0.3209381175455667
13	NZ_CP008933.1	1817	33810	124212	156228	0.0	43357	90.095	32	304526	99689	0.3209381175455667
13	NC_016980.1	1818	33810	69013	101028	0.0	43356	90.095	32	267242	99689	0.320928086348544
13	NZ_CP017451.1	3516	33810	243827	274146	0.0	41278	90.259	30	526446	99689	0.30389511380393025
13	NZ_CP025462.1	3581	33810	105662	135916	0.0	41224	90.285	30	261706	99689	0.3032430859974521
13	NZ_CP137400.1	4234	33810	71523	101122	0.0	40511	90.395	30	352310	99689	0.2966927143416024
14	CP125156.1	1	58431	5236924	5295333	0.0	1.036e+05	99.367	99	5369247	99120	0.589497578692494
14	CP125156.1	58391	98937	5328714	5369247	0.0	72286	99.563	99	5369247	99120	0.40906981436642453
14	NZ_CP039131.1	47468	98894	1	51421	0.0	91586	99.510	52	51421	99120	0.5188357546408394
15	NZ_CP089885.1	1	78036	110525	188646	0.0	1.405e+05	99.876	100	247180	78036	1.0
15	NZ_CP133742.1	1	78036	7918	86039	0.0	1.405e+05	99.876	100	246730	78036	1.0
