qseqid	sseqid	qstart	qend	sstart	send	evalue	bitscore	pident	qcovs	slen	qlen	q_perc_aligned	overlapped_bases	coverage_percentage	bases_covered	gene_name
54_R	AP014952.1	623	18979	1	18362	0.0	31571.0	98.154	95	209081	19252	0.9535113234988573	0	32.30%	67542.00	IncFIB_K__1_Kpn3_pld1
220_R	AP014952.1	1	135	18561	18695	1.61e-62	244.0	100.0	100	209081	135	1.0	0	32.30%	67542.00	IncFIB_K__1_Kpn3_pld1
157_R	AP014952.1	1	339	18736	19073	2.78e-166	590.0	98.82	100	209081	339	1.0	0	32.30%	67542.00	IncFIB_K__1_Kpn3_pld1
221_R	AP014952.1	1	135	19632	19766	1.61e-62	244.0	100.0	100	209081	135	1.0	0	32.30%	67542.00	IncFIB_K__1_Kpn3_pld1
220_R	AP014952.1	1	135	21946	22080	1.61e-62	244.0	100.0	100	209081	135	1.0	0	32.30%	67542.00	IncFIB_K__1_Kpn3_pld1
157_R	AP014952.1	1	339	22121	22458	7.45e-161	572.0	97.64	100	209081	339	1.0	0	32.30%	67542.00	IncFIB_K__1_Kpn3_pld1
209	AP014952.1	1	144	27699	27842	2.2699999999999997e-67	260.0	100.0	100	209081	144	1.0	0	32.30%	67542.00	IncFIB_K__1_Kpn3_pld1
119	AP014952.1	1	749	27843	28591	0.0	1352.0	100.0	100	209081	749	1.0	0	32.30%	67542.00	IncFIB_K__1_Kpn3_pld1
178	AP014952.1	1	206	28593	28798	7.68e-101	372.0	100.0	100	209081	206	1.0	0	32.30%	67542.00	IncFIB_K__1_Kpn3_pld1
78	AP014952.1	1	4825	28799	33625	0.0	8383.0	98.55	100	209081	4825	1.0	0	32.30%	67542.00	IncFIB_K__1_Kpn3_pld1
220_R	AP014952.1	1	135	33626	33760	1.61e-62	244.0	100.0	100	209081	135	1.0	0	32.30%	67542.00	IncFIB_K__1_Kpn3_pld1
157_R	AP014952.1	1	339	33801	34139	3.61e-171	608.0	99.705	100	209081	339	1.0	0	32.30%	67542.00	IncFIB_K__1_Kpn3_pld1
204	AP014952.1	1	150	38161	38310	5.57e-69	267.0	99.333	100	209081	150	1.0	0	32.30%	67542.00	IncFIB_K__1_Kpn3_pld1
179_R	AP014952.1	1	204	38323	38526	9.25e-100	369.0	100.0	100	209081	204	1.0	0	32.30%	67542.00	IncFIB_K__1_Kpn3_pld1
130	AP014952.1	1	556	42899	43454	0.0	990.0	99.46	100	209081	556	1.0	0	32.30%	67542.00	IncFIB_K__1_Kpn3_pld1
182	AP014952.1	2	192	43390	43580	5.09e-71	273.0	91.623	100	209081	192	0.9947916666666666	0	32.30%	67542.00	IncFIB_K__1_Kpn3_pld1
229_R	AP014952.1	1	126	43623	43748	1.13e-57	228.0	100.0	100	209081	126	1.0	0	32.30%	67542.00	IncFIB_K__1_Kpn3_pld1
241	AP014952.1	1	103	43666	43768	1.55e-35	155.0	93.204	100	209081	103	1.0	0	32.30%	67542.00	IncFIB_K__1_Kpn3_pld1
213_R	AP014952.1	1	140	43749	43888	3.25e-65	253.0	100.0	100	209081	140	1.0	0	32.30%	67542.00	IncFIB_K__1_Kpn3_pld1
210_R	AP014952.1	1	144	57988	58131	2.2699999999999997e-67	260.0	100.0	100	209081	144	1.0	0	32.30%	67542.00	IncFIB_K__1_Kpn3_pld1
213	AP014952.1	1	139	90466	90604	1.8e-49	202.0	92.086	100	209081	140	0.9928571428571428	0	32.30%	67542.00	IncFIB_K__1_Kpn3_pld1
182_R	AP014952.1	1	191	90774	90964	5.09e-71	273.0	91.623	100	209081	192	0.9947916666666666	0	32.30%	67542.00	IncFIB_K__1_Kpn3_pld1
236	AP014952.1	1	111	90966	91076	1.32e-49	201.0	100.0	100	209081	111	1.0	0	32.30%	67542.00	IncFIB_K__1_Kpn3_pld1
