qseqid	sseqid	qstart	qend	sstart	send	evalue	bitscore	pident	qcovs	slen	qlen	q_perc_aligned	overlapped_bases	coverage_percentage	bases_covered	gene_name
29	AP020334.1	340	2268	1	1929	0.0	2856.0	92.713	38	6237	5139	0.3753648569760653	0	30.93%	1929.00	Col440II_1_pld1
29_R	AP028471.1	2997	5139	1	2143	0.0	3865.0	100.0	42	3223	5139	0.4170071998443277	0	66.49%	2143.00	Col440II_1_pld1
29_R	AP028475.1	3385	5138	1	1756	0.0	2474.0	91.406	34	5280	5139	0.341311539209963	0	33.26%	1756.00	Col440II_1_pld1
29_R	AP028489.1	1521	4106	648	3223	0.0	4183.0	96.069	50	3223	5139	0.5032107413893754	0	79.93%	2576.00	Col440II_1_pld1
29_R	AP028528.1	2200	5139	1	2940	0.0	5294.0	99.932	57	3223	5139	0.5720957384705195	0	91.22%	2940.00	Col440II_1_pld1
29_R	AP028532.1	1521	3878	876	3223	0.0	3772.0	95.691	46	3223	5139	0.4588441330998248	0	72.85%	2348.00	Col440II_1_pld1
29	AP028554.1	94	3303	1	3209	0.0	5718.0	99.533	62	3223	5139	0.6246351430239346	0	99.57%	3209.00	Col440II_1_pld1
29_R	AP028560.1	2063	5139	1	3077	0.0	5541.0	99.935	60	3223	5139	0.5987546215216968	0	95.47%	3077.00	Col440II_1_pld1
29_R	AP028570.1	1521	3890	864	3223	0.0	3793.0	95.712	46	3223	5139	0.4611792177466433	0	73.22%	2360.00	Col440II_1_pld1
29_R	AP028573.1	1521	3890	864	3223	0.0	3793.0	95.712	46	3223	5139	0.4611792177466433	0	73.22%	2360.00	Col440II_1_pld1
29_R	CP024487.1	3276	5139	1	1864	0.0	3362.0	100.0	70	3223	5139	0.7042226114029967	0	100.00%	3223.00	Col440II_1_pld1
29_R	CP024487.1	1521	3275	1479	3223	0.0	2689.0	94.274	70	3223	5139	0.7042226114029967	0	100.00%	3223.00	Col440II_1_pld1
29_R	CP024503.1	1521	4703	51	3223	0.0	5264.0	96.836	62	3223	5139	0.6193812025685931	0	98.45%	3173.00	Col440II_1_pld1
29	CP024514.1	1727	3619	1	1497	0.0	2938.0	94.69	70	3223	5139	0.7042226114029966	386	100.00%	3223.00	Col440II_1_pld1
29	CP024514.1	1	1726	1498	3223	0.0	3113.0	100.0	70	3223	5139	0.7042226114029966	0	100.00%	3223.00	Col440II_1_pld1
29	CP024519.1	1	3223	1	3223	0.0	5813.0	100.0	63	3223	5139	0.627164818057988	0	100.00%	3223.00	Col440II_1_pld1
29_R	CP024520.1	118	2033	1	1916	0.0	3456.0	100.0	37	1916	5139	0.372835181942012	0	100.00%	1916.00	Col440II_1_pld1
