qseqid	sseqid	qstart	qend	sstart	send	evalue	bitscore	pident	qcovs	slen	qlen	q_perc_aligned	overlapped_bases
89_R	AP024098.1	40	210	972005	972174	1.98e-58	231.0	91.228	81	2139380	210	0.8142857142857143	0
89_R	AP024100.1	40	210	900998	901167	1.98e-58	231.0	91.228	81	2131108	210	0.8142857142857143	0
89_R	AP024102.1	40	210	960626	960795	1.98e-58	231.0	91.228	81	2094349	210	0.8142857142857143	0
99	AP024104.1	2	49	1089120	1089167	9.12e-11	73.1	93.75	30	1936579	159	0.3018867924528302	0
89	AP024104.1	1	171	1089175	1089344	1.98e-58	231.0	91.228	81	1936579	210	0.8142857142857143	0
99	AP024106.1	2	49	1196606	1196653	9.12e-11	73.1	93.75	30	2077684	159	0.3018867924528302	0
89	AP024106.1	1	171	1196661	1196830	1.98e-58	231.0	91.228	81	2077684	210	0.8142857142857143	0
89_R	AP024108.1	40	210	989009	989178	1.98e-58	231.0	91.228	81	2107950	210	0.8142857142857143	0
89_R	AP024158.1	40	210	972005	972174	1.98e-58	231.0	91.228	81	2139380	210	0.8142857142857143	0
89_R	AP024160.1	40	210	900998	901167	1.98e-58	231.0	91.228	81	2131116	210	0.8142857142857143	0
89_R	AP024162.1	40	210	887331	887500	1.98e-58	231.0	91.228	81	2117975	210	0.8142857142857143	0
35_R	AP026466.1	264	2368	29781	31885	0.0	3783.0	99.097	74	64098	2828	0.7443422913719944	0
35_R	AP026498.1	1	2368	23554	25921	0.0	4335.0	99.704	84	57074	2828	0.8373408769448374	0
134	AP026530.1	1	100	156692	156792	6.26e-40	169.0	97.03	100	655459	100	1.0	0
107	AP026530.1	1	139	156928	157070	3.3699999999999994e-54	217.0	94.406	100	655459	139	1.0	0
43_R	AP026530.1	1	1475	157072	158546	0.0	2508.0	97.358	100	655459	1475	1.0	0
68_R	AP026530.1	1	347	158875	159221	6.419999999999999e-165	586.0	97.118	100	655459	347	1.0	0
89_R	AP026530.1	1	209	159223	159431	1.87e-98	364.0	98.086	99	655459	210	0.9952380952380953	0
99_R	AP026530.1	113	159	159444	159490	3.26e-15	87.9	100.0	30	655459	159	0.2955974842767295	0
57	AP026530.1	1	523	159538	160060	0.0	944.0	99.235	100	655459	523	1.0	0
