qseqid	sseqid	qstart	qend	sstart	send	evalue	bitscore	pident	qcovs	slen	qlen	q_perc_aligned	overlapped_bases	coverage_percentage	bases_covered	gene_name	new_sseqid	x_sseqid
50_R	NZ_CP137437.1	1	22105	14654	36758	0.0	38688.0	98.824	100	111591	22105	1.0	0	53.35	59529.0	IncR_1_pld1	SRR18543877_IncR	SRR18543877_NZ_CP137437.1
96	NZ_CP137437.1	63	1943	36751	38630	0.0	3349.0	99.522	97	111591	1943	0.968090581574884	0	53.35	59529.0	IncR_1_pld1	SRR18543877_IncR	SRR18543877_NZ_CP137437.1
34_R	NZ_CP137437.1	23168	43967	46202	67001	0.0	36814.0	99.136	47	111591	43967	0.4730820842904906	0	53.35	59529.0	IncR_1_pld1	SRR18543877_IncR	SRR18543877_NZ_CP137437.1
73_R	NZ_CP137437.1	1	6442	67001	73439	0.0	10427.0	95.886	95	111591	6802	0.947074389885328	0	53.35	59529.0	IncR_1_pld1	SRR18543877_IncR	SRR18543877_NZ_CP137437.1
155	NZ_CP137437.1	1	363	75390	75752	0.0	655.0	100.0	100	111591	363	1.0	0	53.35	59529.0	IncR_1_pld1	SRR18543877_IncR	SRR18543877_NZ_CP137437.1
56_R	NZ_CP137437.1	7531	15495	103159	111109	0.0	12381.0	94.521	42	111591	18909	0.4212279866730128	0	53.35	59529.0	IncR_1_pld1	SRR18543877_IncR	SRR18543877_NZ_CP137437.1
85_R	LR890623.1	2248	3389	1	1142	0.0	2056.0	99.912	100	3549	3389	1.0	0	100.0	3549.0	Col440I_1_pld2	SRR18543877_Col440I_2	SRR18543877_LR890623.1
198	LR890623.1	1	160	1143	1302	5.3e-76	289.0	100.0	100	3549	160	1.0	0	100.0	3549.0	Col440I_1_pld2	SRR18543877_Col440I_2	SRR18543877_LR890623.1
85_R	LR890623.1	1	2247	1303	3549	0.0	4048.0	99.955	100	3549	3389	1.0	0	100.0	3549.0	Col440I_1_pld2	SRR18543877_Col440I_2	SRR18543877_LR890623.1
168_R	NZ_CP040862.1	1	265	1234	1498	9.62e-133	479.0	100.0	100	263991	265	1.0	0	75.71	199879.0	IncFIB_K__1_Kpn3_pld1	SRR18543877_IncFIB_K__1_Kpn3	SRR18543877_NZ_CP040862.1
212_R	NZ_CP040862.1	1	140	1499	1638	3.25e-65	253.0	100.0	100	263991	140	1.0	0	75.71	199879.0	IncFIB_K__1_Kpn3_pld1	SRR18543877_IncFIB_K__1_Kpn3	SRR18543877_NZ_CP040862.1
233_R	NZ_CP040862.1	1	124	1816	1939	1.34e-56	224.0	100.0	100	263991	124	1.0	0	75.71	199879.0	IncFIB_K__1_Kpn3_pld1	SRR18543877_IncFIB_K__1_Kpn3	SRR18543877_NZ_CP040862.1
66	NZ_CP040862.1	1	11476	2401	13877	0.0	20451.0	99.529	96	263991	11979	0.958009850571834	0	75.71	199879.0	IncFIB_K__1_Kpn3_pld1	SRR18543877_IncFIB_K__1_Kpn3	SRR18543877_NZ_CP040862.1
53	NZ_CP040862.1	3154	19358	13873	30077	0.0	29220.0	99.994	84	263991	19358	0.837121603471433	0	75.71	199879.0	IncFIB_K__1_Kpn3_pld1	SRR18543877_IncFIB_K__1_Kpn3	SRR18543877_NZ_CP040862.1
235	NZ_CP040862.1	1	112	30249	30360	3.83e-50	203.0	100.0	100	263991	112	1.0	0	75.71	199879.0	IncFIB_K__1_Kpn3_pld1	SRR18543877_IncFIB_K__1_Kpn3	SRR18543877_NZ_CP040862.1
158	NZ_CP040862.1	2	335	30507	30840	1.33e-138	499.0	93.114	100	263991	335	0.9970149253731344	0	75.71	199879.0	IncFIB_K__1_Kpn3_pld1	SRR18543877_IncFIB_K__1_Kpn3	SRR18543877_NZ_CP040862.1
172_R	NZ_CP040862.1	1	245	31137	31381	6.330000000000001e-122	443.0	100.0	100	263991	245	1.0	0	75.71	199879.0	IncFIB_K__1_Kpn3_pld1	SRR18543877_IncFIB_K__1_Kpn3	SRR18543877_NZ_CP040862.1
100_R	NZ_CP040862.1	1	1723	31410	33133	0.0	3102.0	99.942	100	263991	1723	1.0	0	75.71	199879.0	IncFIB_K__1_Kpn3_pld1	SRR18543877_IncFIB_K__1_Kpn3	SRR18543877_NZ_CP040862.1
238_R	NZ_CP040862.1	1	106	33280	33385	3.79e-37	160.0	93.396	100	263991	106	1.0	0	75.71	199879.0	IncFIB_K__1_Kpn3_pld1	SRR18543877_IncFIB_K__1_Kpn3	SRR18543877_NZ_CP040862.1
235_R	NZ_CP040862.1	2	111	33724	33770	3.36e-38	163.0	92.727	100	263991	112	0.9821428571428572	63	75.71	199879.0	IncFIB_K__1_Kpn3_pld1	SRR18543877_IncFIB_K__1_Kpn3	SRR18543877_NZ_CP040862.1
67_R	NZ_CP040862.1	1	6616	33771	40386	0.0	11640.0	99.048	98	263991	11292	0.9805171803046404	0	75.71	199879.0	IncFIB_K__1_Kpn3_pld1	SRR18543877_IncFIB_K__1_Kpn3	SRR18543877_NZ_CP040862.1
67_R	NZ_CP040862.1	6837	11292	40386	44841	0.0	8037.0	100.0	98	263991	11292	0.9805171803046404	0	75.71	199879.0	IncFIB_K__1_Kpn3_pld1	SRR18543877_IncFIB_K__1_Kpn3	SRR18543877_NZ_CP040862.1
194_R	NZ_CP040862.1	1	168	45104	45271	2.5600000000000003e-80	304.0	100.0	100	263991	168	1.0	0	75.71	199879.0	IncFIB_K__1_Kpn3_pld1	SRR18543877_IncFIB_K__1_Kpn3	SRR18543877_NZ_CP040862.1
69	NZ_CP040862.1	1	6381	45416	51796	0.0	11504.0	99.984	100	263991	9650	0.6612435233160622	0	75.71	199879.0	IncFIB_K__1_Kpn3_pld1	SRR18543877_IncFIB_K__1_Kpn3	SRR18543877_NZ_CP040862.1
158_R	NZ_CP040862.1	1	334	52091	52295	1.17e-126	459.0	90.419	100	263991	335	0.9970149253731344	129	75.71	199879.0	IncFIB_K__1_Kpn3_pld1	SRR18543877_IncFIB_K__1_Kpn3	SRR18543877_NZ_CP040862.1
130_R	NZ_CP040862.1	1	556	52296	52851	0.0	990.0	99.46	100	263991	556	1.0	0	75.71	199879.0	IncFIB_K__1_Kpn3_pld1	SRR18543877_IncFIB_K__1_Kpn3	SRR18543877_NZ_CP040862.1
158_R	NZ_CP040862.1	1	334	66040	66373	6.9e-136	490.0	92.515	100	263991	335	0.9970149253731344	0	75.71	199879.0	IncFIB_K__1_Kpn3_pld1	SRR18543877_IncFIB_K__1_Kpn3	SRR18543877_NZ_CP040862.1
235_R	NZ_CP040862.1	2	112	66521	66631	1.52e-42	178.0	95.495	100	263991	112	0.9910714285714286	0	75.71	199879.0	IncFIB_K__1_Kpn3_pld1	SRR18543877_IncFIB_K__1_Kpn3	SRR18543877_NZ_CP040862.1
235	NZ_CP040862.1	2	112	85150	85260	6.920000000000001e-47	192.0	98.198	100	263991	112	0.9910714285714286	0	75.71	199879.0	IncFIB_K__1_Kpn3_pld1	SRR18543877_IncFIB_K__1_Kpn3	SRR18543877_NZ_CP040862.1
158	NZ_CP040862.1	2	335	85407	85740	1.33e-138	499.0	93.114	100	263991	335	0.9970149253731344	0	75.71	199879.0	IncFIB_K__1_Kpn3_pld1	SRR18543877_IncFIB_K__1_Kpn3	SRR18543877_NZ_CP040862.1
157	NZ_CP040862.1	1	339	88959	89297	8.500000000000001e-173	612.0	100.0	100	263991	339	1.0	0	75.71	199879.0	IncFIB_K__1_Kpn3_pld1	SRR18543877_IncFIB_K__1_Kpn3	SRR18543877_NZ_CP040862.1
220	NZ_CP040862.1	1	135	89338	89473	2.9e-59	233.0	98.529	100	263991	135	1.0	0	75.71	199879.0	IncFIB_K__1_Kpn3_pld1	SRR18543877_IncFIB_K__1_Kpn3	SRR18543877_NZ_CP040862.1
78_R	NZ_CP040862.1	249	4645	93102	97498	0.0	7912.0	99.909	91	263991	4825	0.9112953367875648	0	75.71	199879.0	IncFIB_K__1_Kpn3_pld1	SRR18543877_IncFIB_K__1_Kpn3	SRR18543877_NZ_CP040862.1
76	NZ_CP040862.1	1	5592	100128	105719	0.0	10085.0	100.0	100	263991	5592	1.0	0	75.71	199879.0	IncFIB_K__1_Kpn3_pld1	SRR18543877_IncFIB_K__1_Kpn3	SRR18543877_NZ_CP040862.1
158_R	NZ_CP040862.1	1	335	107915	108249	1.2399999999999998e-170	605.0	100.0	100	263991	335	1.0	0	75.71	199879.0	IncFIB_K__1_Kpn3_pld1	SRR18543877_IncFIB_K__1_Kpn3	SRR18543877_NZ_CP040862.1
235_R	NZ_CP040862.1	2	112	108396	108506	1.52e-42	178.0	95.495	100	263991	112	0.9910714285714286	0	75.71	199879.0	IncFIB_K__1_Kpn3_pld1	SRR18543877_IncFIB_K__1_Kpn3	SRR18543877_NZ_CP040862.1
150_R	NZ_CP040862.1	1	397	114000	114396	0.0	717.0	100.0	100	263991	397	1.0	0	75.71	199879.0	IncFIB_K__1_Kpn3_pld1	SRR18543877_IncFIB_K__1_Kpn3	SRR18543877_NZ_CP040862.1
