qseqid	sseqid	qstart	qend	sstart	send	evalue	bitscore	pident	qcovs	slen	qlen	q_perc_aligned	overlapped_bases	coverage_percentage	bases_covered	gene_name
82_R	AP014955.1	2655	4118	683	2144	0.0	2208.0	93.588	34	3897	4304	0.3401486988847583	0	37.52%	1462.00	Col440I_1_pld1
82	AP022443.1	220	1601	1	1382	0.0	1985.0	92.014	32	4119	4304	0.3210966542750929	0	37.44%	1542.00	Col440I_1_pld1
198_R	AP022443.1	1	160	3741	3900	1.17e-71	276.0	98.125	100	4119	160	1.0	0	37.44%	1542.00	Col440I_1_pld1
82_R	AP028468.1	2655	4125	218	1694	0.0	2044.0	91.02	34	4809	4304	0.3417750929368029	0	30.71%	1477.00	Col440I_1_pld1
82	CP018358.1	1696	2997	1	1302	0.0	2349.0	100.0	70	4374	4304	0.6963289962825279	0	72.09%	3153.00	Col440I_1_pld1
198_R	CP018358.1	1	160	2524	2683	5.3e-76	289.0	100.0	100	4374	160	1.0	0	72.09%	3153.00	Col440I_1_pld1
82	CP018358.1	1	1695	2684	4374	0.0	2615.0	94.218	70	4374	4304	0.6963289962825279	0	72.09%	3153.00	Col440I_1_pld1
82_R	CP031375.2	2685	4118	2138	3575	0.0	2033.0	91.759	33	8379	4304	0.33317843866171	0	34.26%	2871.00	Col440I_1_pld1
82_R	CP031375.2	2685	4118	5690	7122	0.0	2065.0	92.286	33	8379	4304	0.33317843866171	0	34.26%	2871.00	Col440I_1_pld1
198_R	CP044374.1	1	160	1392	1551	2.74e-73	280.0	98.75	100	4168	160	1.0	0	42.18%	1758.00	Col440I_1_pld1
82	CP044374.1	2	1601	1553	3150	0.0	2363.0	93.093	37	4168	4304	0.3717472118959107	0	42.18%	1758.00	Col440I_1_pld1
82	CP044379.1	180	1603	1988	3408	0.0	2029.0	91.824	33	4653	4304	0.3308550185873606	0	30.54%	1421.00	Col440I_1_pld1
198_R	CP044384.1	1	160	2705	2864	2.74e-73	280.0	98.75	100	4167	160	1.0	0	35.09%	1462.00	Col440I_1_pld1
82	CP044384.1	2	1304	2866	4167	0.0	2095.0	95.945	30	4167	4304	0.3027416356877323	0	35.09%	1462.00	Col440I_1_pld1
82_R	CP052267.1	2702	4118	2371	3784	0.0	1996.0	91.655	33	4642	4304	0.329228624535316	0	30.46%	1414.00	Col440I_1_pld1
198_R	CP052274.1	1	160	2084	2243	2.74e-73	280.0	98.75	100	4167	160	1.0	0	42.21%	1759.00	Col440I_1_pld1
82	CP052274.1	2	1601	2245	3843	0.0	2371.0	93.155	37	4167	4304	0.3717472118959107	0	42.21%	1759.00	Col440I_1_pld1
198_R	CP052290.1	1	160	656	815	2.74e-73	280.0	98.75	100	4167	160	1.0	0	42.21%	1759.00	Col440I_1_pld1
82	CP052290.1	2	1601	817	2415	0.0	2371.0	93.155	37	4167	4304	0.3717472118959107	0	42.21%	1759.00	Col440I_1_pld1
198_R	CP052300.1	1	160	1619	1778	2.74e-73	280.0	98.75	100	4167	160	1.0	0	42.21%	1759.00	Col440I_1_pld1
82	CP052300.1	2	1601	1780	3378	0.0	2371.0	93.155	37	4167	4304	0.3717472118959107	0	42.21%	1759.00	Col440I_1_pld1
82_R	CP052308.1	2704	4303	2228	3826	0.0	2371.0	93.155	37	4167	4304	0.3717472118959107	0	42.21%	1759.00	Col440I_1_pld1
198	CP052308.1	1	160	3828	3987	2.74e-73	280.0	98.75	100	4167	160	1.0	0	42.21%	1759.00	Col440I_1_pld1
82_R	CP052371.1	2704	4303	2400	3998	0.0	2371.0	93.155	37	4167	4304	0.3717472118959107	0	42.21%	1759.00	Col440I_1_pld1
198	CP052371.1	1	160	4000	4159	2.74e-73	280.0	98.75	100	4167	160	1.0	0	42.21%	1759.00	Col440I_1_pld1
82_R	CP052397.1	2652	4303	959	2608	0.0	2247.0	90.282	38	2789	4304	0.3838289962825278	0	64.90%	1810.00	Col440I_1_pld1
198	CP052397.1	1	160	2610	2769	2.25e-74	285.0	99.375	100	2789	160	1.0	0	64.90%	1810.00	Col440I_1_pld1
82_R	CP052419.1	2702	4118	333	1746	0.0	1989.0	91.362	33	4654	4304	0.329228624535316	0	30.38%	1414.00	Col440I_1_pld1
198_R	CP052425.1	1	160	158	317	2.25e-74	285.0	99.375	100	2789	160	1.0	0	64.90%	1810.00	Col440I_1_pld1
82	CP052425.1	2	1653	319	1968	0.0	2247.0	90.282	38	2789	4304	0.3838289962825278	0	64.90%	1810.00	Col440I_1_pld1
82	CP052475.1	187	1603	1949	3362	0.0	1989.0	91.362	33	4654	4304	0.329228624535316	0	30.38%	1414.00	Col440I_1_pld1
82_R	CP052482.1	2702	4118	645	2058	0.0	1989.0	91.362	33	4654	4304	0.329228624535316	0	30.38%	1414.00	Col440I_1_pld1
82_R	CP052515.1	2703	4118	159	1582	0.0	2029.0	91.894	33	3302	4304	0.328996282527881	0	43.13%	1424.00	Col440I_1_pld1
82_R	CP052542.1	2704	4303	225	1823	0.0	2371.0	93.155	37	4167	4304	0.3717472118959107	0	42.21%	1759.00	Col440I_1_pld1
198	CP052542.1	1	160	1825	1984	2.74e-73	280.0	98.75	100	4167	160	1.0	0	42.21%	1759.00	Col440I_1_pld1
198_R	CP056504.1	1	160	55	215	4.96e-70	269.0	97.516	100	3354	160	1.0	0	46.00%	1543.00	Col440I_1_pld1
82	CP056504.1	2	1391	217	1598	0.0	2107.0	93.772	32	3354	4304	0.3229553903345725	0	46.00%	1543.00	Col440I_1_pld1
82	CP067715.1	187	1653	1457	2930	0.0	2007.0	90.399	34	4991	4304	0.3408457249070632	0	29.53%	1474.00	Col440I_1_pld1
