qseqid	sseqid	qstart	qend	sstart	send	evalue	bitscore	pident	qcovs	slen	qlen	q_perc_aligned	overlapped_bases	coverage_percentage	bases_covered	gene_name
22_R	AP026741.1	3483	30494	1	27013	0.0	49495.0	99.741	84	33093	32098	0.8415477599850458	0	81.63%	27013.00	IncX4_1_pld1
22	AP027810.1	1	13085	20229	33315	0.0	24133.0	99.954	41	33315	32098	0.4076577979936445	0	39.28%	13087.00	IncX4_1_pld1
22	AP027894.1	1	14312	19001	33315	0.0	26393.0	99.951	45	33315	32098	0.4458844787837248	0	42.97%	14315.00	IncX4_1_pld1
22_R	CP025875.1	15063	30494	17440	32863	0.0	27693.0	99.067	48	36521	32098	0.4807776185432114	0	42.23%	15424.00	IncX4_1_pld1
22_R	CP025925.1	15063	30494	20243	35666	0.0	27693.0	99.067	48	36521	32098	0.4807776185432114	0	42.23%	15424.00	IncX4_1_pld1
22_R	CP035775.1	13441	27663	3702	17890	0.0	24201.0	97.424	44	42640	32098	0.4431117203564085	0	33.28%	14189.00	IncX4_1_pld1
22	CP042607.1	1	17033	13854	30881	0.0	31239.0	99.777	53	34525	32098	0.5306561156458346	0	49.32%	17028.00	IncX4_1_pld1
22	CP042647.1	4988	17033	13570	25622	0.0	21968.0	99.577	38	35009	32098	0.3752881799489064	0	34.43%	12053.00	IncX4_1_pld1
22	CP052790.1	1	22128	2752	24884	0.0	40485.0	99.688	69	36667	32098	0.6893887469624276	0	60.36%	22133.00	IncX4_1_pld1
22	CP052800.1	4481	14469	25407	35379	0.0	16925.0	97.284	31	35379	32098	0.3112031902299209	0	28.19%	9973.00	IncX4_1_pld1
22	CP057161.1	15680	32098	1	16419	0.0	30249.0	99.921	97	35341	32098	0.9703719857935074	0	88.14%	31149.00	IncX4_1_pld1
22	CP057161.1	952	15679	20612	35341	0.0	27183.0	99.98	97	35341	32098	0.9703719857935074	0	88.14%	31149.00	IncX4_1_pld1
22	CP057529.1	1	11770	20676	32448	0.0	21084.0	98.998	37	32448	32098	0.3666895133653187	0	36.28%	11773.00	IncX4_1_pld1
22_R	CP057549.1	14669	24341	22777	32448	0.0	17512.0	99.349	30	32448	32098	0.3013583400834943	0	29.81%	9672.00	IncX4_1_pld1
22	CP057579.1	4433	17377	19518	32449	0.0	21588.0	96.793	40	32449	32098	0.4032961555237086	0	39.85%	12932.00	IncX4_1_pld1
22	CP057708.1	7865	18658	1	10794	0.0	19701.0	99.611	34	32676	32098	0.3362826344320518	0	33.03%	10794.00	IncX4_1_pld1
22_R	CP058085.1	15063	27618	22657	35178	0.0	20724.0	96.511	39	40213	32098	0.3911770203751012	0	31.14%	12522.00	IncX4_1_pld1
22_R	CP059928.1	8893	27618	14525	33236	0.0	32939.0	98.432	58	35368	32098	0.5834008349429871	0	52.91%	18712.00	IncX4_1_pld1
