qseqid	sseqid	qstart	qend	sstart	send	evalue	bitscore	pident	qcovs	slen	qlen	q_perc_aligned	overlapped_bases	coverage_percentage	bases_covered	gene_name
36	AP027720.1	302	2101	1	1800	0.0	3325.0	100.0	86	2101	2101	0.8567348881485007	0	85.67%	1800.00	Col_BS512__1_pld1
36_R	CP042636.1	245	2101	1	1845	0.0	3253.0	98.391	88	2090	2101	0.8838648262732033	0	88.28%	1845.00	Col_BS512__1_pld1
36	CP052212.1	1002	2101	1	1100	0.0	2032.0	100.0	100	2088	2101	1.0	0	100.00%	2088.00	Col_BS512__1_pld1
36	CP052212.1	1	1001	1101	2088	0.0	1753.0	98.503	100	2088	2101	1.0	0	100.00%	2088.00	Col_BS512__1_pld1
36	CP054324.1	993	2101	1	1109	0.0	2049.0	100.0	100	2113	2101	1.0	0	100.00%	2113.00	Col_BS512__1_pld1
36	CP054324.1	1	992	1110	2113	0.0	1766.0	98.607	100	2113	2101	1.0	0	100.00%	2113.00	Col_BS512__1_pld1
36_R	CP054341.1	968	2101	1	1121	0.0	1999.0	98.678	100	2088	2101	1.0	0	100.00%	2088.00	Col_BS512__1_pld1
36_R	CP054341.1	1	967	1122	2088	0.0	1786.0	100.0	100	2088	2101	1.0	0	100.00%	2088.00	Col_BS512__1_pld1
36	CP054463.1	1	2003	99	2100	0.0	3681.0	99.85	95	2100	2101	0.9533555449785815	0	95.33%	2002.00	Col_BS512__1_pld1
36_R	CP056408.1	1	1560	542	2089	0.0	2798.0	99.167	74	2089	2101	0.7425035697287006	0	74.10%	1548.00	Col_BS512__1_pld1
36_R	CP056791.1	1226	2101	1	863	0.0	1522.0	98.29	100	2088	2101	1.0	0	100.00%	2088.00	Col_BS512__1_pld1
36_R	CP056791.1	1	1225	864	2088	0.0	2263.0	100.0	100	2088	2101	1.0	0	100.00%	2088.00	Col_BS512__1_pld1
36_R	CP067709.1	79	2101	1	2023	0.0	3720.0	99.852	96	2101	2101	0.962874821513565	0	96.29%	2023.00	Col_BS512__1_pld1
36	CP077227.1	1	1696	406	2089	0.0	3044.0	99.175	81	2089	2101	0.8072346501665874	0	80.61%	1684.00	Col_BS512__1_pld1
36	CP077255.1	1298	2101	1	804	0.0	1485.0	100.0	100	2102	2101	1.0	0	100.00%	2102.00	Col_BS512__1_pld1
36	CP077255.1	1	1297	805	2102	0.0	2390.0	99.923	100	2102	2101	1.0	0	100.00%	2102.00	Col_BS512__1_pld1
36_R	CP077278.1	876	2101	1	1214	0.0	2176.0	98.859	100	2089	2101	1.0	0	100.00%	2089.00	Col_BS512__1_pld1
36_R	CP077278.1	1	875	1215	2089	0.0	1616.0	100.0	100	2089	2101	1.0	0	100.00%	2089.00	Col_BS512__1_pld1
36_R	CP077284.1	675	2101	1	1427	0.0	2625.0	99.86	100	2101	2101	1.0	0	100.00%	2101.00	Col_BS512__1_pld1
36_R	CP077284.1	1	674	1428	2101	0.0	1240.0	99.852	100	2101	2101	1.0	0	100.00%	2101.00	Col_BS512__1_pld1
36_R	CP077346.1	882	2101	1	1220	0.0	2242.0	99.836	100	2101	2101	1.0	0	100.00%	2101.00	Col_BS512__1_pld1
36_R	CP077346.1	1	881	1221	2101	0.0	1622.0	99.886	100	2101	2101	1.0	0	100.00%	2101.00	Col_BS512__1_pld1
36_R	CP077358.1	882	2101	1	1221	0.0	2248.0	99.918	100	2102	2101	1.0	0	100.00%	2102.00	Col_BS512__1_pld1
36_R	CP077358.1	1	881	1222	2102	0.0	1628.0	100.0	100	2102	2101	1.0	0	100.00%	2102.00	Col_BS512__1_pld1
36	CP077383.1	1299	2101	1	803	0.0	1483.0	100.0	100	2101	2101	1.0	0	100.00%	2101.00	Col_BS512__1_pld1
36	CP077383.1	1	1298	804	2101	0.0	2381.0	99.769	100	2101	2101	1.0	0	100.00%	2101.00	Col_BS512__1_pld1
36	CP115329.1	953	2101	1	1147	0.0	2104.0	99.739	99	2080	2101	0.9947643979057592	0	100.00%	2080.00	Col_BS512__1_pld1
36	CP115329.1	1	941	1148	2080	0.0	1615.0	97.78	99	2080	2101	0.9947643979057592	0	100.00%	2080.00	Col_BS512__1_pld1
36	CP117209.1	723	2101	1	1379	0.0	2542.0	99.927	100	2101	2101	1.0	0	100.00%	2101.00	Col_BS512__1_pld1
36	CP117209.1	1	722	1380	2101	0.0	1323.0	99.723	100	2101	2101	1.0	0	100.00%	2101.00	Col_BS512__1_pld1
36_R	CP121677.1	1	1753	343	2091	0.0	3201.0	99.658	83	2091	2101	0.8343645882912899	0	83.64%	1749.00	Col_BS512__1_pld1
36_R	CP125019.1	111	2101	1	2003	0.0	3611.0	99.301	95	2113	2101	0.9476439790575916	0	94.79%	2003.00	Col_BS512__1_pld1
36	CP125026.1	478	2101	1	1636	0.0	2944.0	99.267	77	2113	2101	0.7729652546406474	0	77.43%	1636.00	Col_BS512__1_pld1
36_R	CP125032.1	1	1558	544	2101	0.0	2872.0	99.936	74	2101	2101	0.7415516420752023	0	74.16%	1558.00	Col_BS512__1_pld1
36	CP125052.1	454	2101	1	1636	0.0	2966.0	99.272	78	2089	2101	0.7843883864826273	0	78.31%	1636.00	Col_BS512__1_pld1
36_R	CP125058.1	269	2101	1	1833	0.0	3369.0	99.836	87	2101	2101	0.8724416944312232	0	87.24%	1833.00	Col_BS512__1_pld1
36_R	CP125070.1	1	1977	125	2113	0.0	3585.0	99.296	94	2113	2101	0.9409804854831032	0	94.13%	1989.00	Col_BS512__1_pld1
36_R	MW363524.1	79	2101	1	2035	0.0	3670.0	99.312	96	2113	2101	0.962874821513565	0	96.31%	2035.00	Col_BS512__1_pld1
36_R	NC_001378.1	1478	2101	1	620	0.0	1116.0	99.04	100	2083	2101	1.0	0	100.00%	2083.00	Col_BS512__1_pld1
36_R	NC_001378.1	1	1477	621	2083	0.0	2615.0	98.781	100	2083	2101	1.0	0	100.00%	2083.00	Col_BS512__1_pld1
36_R	NC_009347.1	1478	2101	1	624	0.0	1136.0	99.52	100	2101	2101	1.0	0	100.00%	2101.00	Col_BS512__1_pld1
36_R	NC_009347.1	1	1477	625	2101	0.0	2728.0	100.0	100	2101	2101	1.0	0	100.00%	2101.00	Col_BS512__1_pld1
36_R	NC_010656.1	1478	2101	1	624	0.0	1125.0	99.2	100	2089	2101	1.0	0	100.00%	2089.00	Col_BS512__1_pld1
36_R	NC_010656.1	1	1477	625	2089	0.0	2634.0	98.984	100	2089	2101	1.0	0	100.00%	2089.00	Col_BS512__1_pld1
36_R	NC_016824.1	79	2101	1	2011	0.0	3648.0	99.308	96	2089	2101	0.962874821513565	0	96.27%	2011.00	Col_BS512__1_pld1
36_R	NZ_AP021968.1	1	2079	23	2113	0.0	3773.0	99.331	99	2113	2101	0.9895287958115184	0	98.96%	2091.00	Col_BS512__1_pld1
36_R	NZ_AP022054.1	1	2079	23	2089	0.0	3746.0	99.279	99	2089	2101	0.9895287958115184	0	98.95%	2067.00	Col_BS512__1_pld1
36_R	NZ_AP022076.1	1	2079	23	2100	0.0	3816.0	99.808	99	2100	2101	0.9895287958115184	0	98.95%	2078.00	Col_BS512__1_pld1
36_R	NZ_AP022104.1	1	2079	23	2088	0.0	3744.0	99.279	99	2088	2101	0.9895287958115184	0	98.95%	2066.00	Col_BS512__1_pld1
36_R	NZ_AP022170.1	1	2079	23	2088	0.0	3744.0	99.279	99	2088	2101	0.9895287958115184	0	98.95%	2066.00	Col_BS512__1_pld1
36_R	NZ_AP022212.1	1	2079	23	2089	0.0	3751.0	99.327	99	2089	2101	0.9895287958115184	0	98.95%	2067.00	Col_BS512__1_pld1
36_R	NZ_AP022657.1	396	2101	1	1718	0.0	3085.0	99.186	81	2113	2101	0.8119942884340791	0	81.31%	1718.00	Col_BS512__1_pld1
36_R	NZ_AP023223.2	350	2101	1	1752	0.0	3225.0	99.886	83	2101	2101	0.8338886244645407	0	83.39%	1752.00	Col_BS512__1_pld1
36_R	NZ_AP023234.2	197	2101	1	1905	0.0	3507.0	99.895	91	2101	2101	0.9067110899571632	0	90.67%	1905.00	Col_BS512__1_pld1
36_R	NZ_AP023437.1	79	1673	1	1594	0.0	2911.0	99.624	76	2287	2101	0.7591623036649214	0	69.70%	1594.00	Col_BS512__1_pld1
36_R	NZ_AP027499.1	1	2101	1	2088	0.0	3784.0	99.286	100	2088	2101	1.0	0	100.00%	2088.00	Col_BS512__1_pld1
36	NZ_AP027833.1	112	2101	7761	9747	0.0	3639.0	99.699	95	85393	2101	0.9471680152308424	0	2.33%	1987.00	Col_BS512__1_pld1
36	NZ_AP027842.1	176	2101	1	1926	0.0	3541.0	99.844	92	2101	2101	0.9167063303188958	0	91.67%	1926.00	Col_BS512__1_pld1
36	NZ_AP027977.1	759	2101	1	1343	0.0	2475.0	99.926	100	2089	2101	1.0	0	100.00%	2089.00	Col_BS512__1_pld1
36	NZ_AP027977.1	1	758	1344	2089	0.0	1312.0	98.155	100	2089	2101	1.0	0	100.00%	2089.00	Col_BS512__1_pld1
36	NZ_AP027984.1	464	2101	1	1626	0.0	2942.0	99.206	78	2089	2101	0.7796287482151356	0	77.84%	1626.00	Col_BS512__1_pld1
36_R	NZ_CP008719.1	1268	2101	1	834	0.0	1530.0	99.76	100	2101	2101	1.0	0	100.00%	2101.00	Col_BS512__1_pld1
36_R	NZ_CP008719.1	1	1267	835	2101	0.0	2340.0	100.0	100	2101	2101	1.0	0	100.00%	2101.00	Col_BS512__1_pld1
36_R	NZ_CP011141.1	1478	2101	1	624	0.0	1136.0	99.52	100	2089	2101	1.0	0	100.00%	2089.00	Col_BS512__1_pld1
36_R	NZ_CP011141.1	1	1477	625	2089	0.0	2651.0	99.188	100	2089	2101	1.0	0	100.00%	2089.00	Col_BS512__1_pld1
36_R	NZ_CP023648.1	993	2101	1	1109	0.0	2032.0	99.73	100	2136	2101	0.5278438838648263	0	51.92%	1109.00	Col_BS512__1_pld1
36_R	NZ_CP023838.1	79	2101	1	2011	0.0	3620.0	99.061	96	2089	2101	0.962874821513565	0	96.27%	2011.00	Col_BS512__1_pld1
36	NZ_CP023857.1	1134	2101	1	968	0.0	1788.0	100.0	100	2101	2101	1.0	0	100.00%	2101.00	Col_BS512__1_pld1
36	NZ_CP023857.1	1	1133	969	2101	0.0	2071.0	99.647	100	2101	2101	1.0	0	100.00%	2101.00	Col_BS512__1_pld1
36	NZ_CP023902.1	1	2018	84	2101	0.0	3716.0	99.901	96	2101	2101	0.9604950023798192	0	96.05%	2018.00	Col_BS512__1_pld1
36_R	NZ_CP024803.1	1	1545	556	2088	0.0	2765.0	99.094	74	2088	2101	0.7353641123274631	0	73.42%	1533.00	Col_BS512__1_pld1
36	NZ_CP027132.1	1	2087	15	2101	0.0	3843.0	99.904	99	2101	2101	0.9933365064255116	0	99.33%	2087.00	Col_BS512__1_pld1
36_R	NZ_CP027201.2	359	2101	1	1730	0.0	3107.0	98.967	83	2088	2101	0.8296049500237982	0	82.85%	1730.00	Col_BS512__1_pld1
36	NZ_CP029105.1	113	2101	1	1989	0.0	3663.0	99.899	95	2101	2101	0.9466920514040932	0	94.67%	1989.00	Col_BS512__1_pld1
36	NZ_CP029366.1	1	2006	96	2101	0.0	3694.0	99.9	95	2101	2101	0.9547834364588292	0	95.48%	2006.00	Col_BS512__1_pld1
36	NZ_CP029581.1	770	2101	1	1332	0.0	2460.0	100.0	100	2101	2101	1.0	0	100.00%	2101.00	Col_BS512__1_pld1
36	NZ_CP029581.1	1	769	1333	2101	0.0	1393.0	99.351	100	2101	2101	1.0	0	100.00%	2101.00	Col_BS512__1_pld1
36_R	NZ_CP030115.1	334	2101	1	1780	0.0	3199.0	99.214	84	2113	2101	0.8415040456925273	0	84.24%	1780.00	Col_BS512__1_pld1
36	NZ_CP033398.1	1	1752	350	2088	0.0	3129.0	99.03	83	2088	2101	0.8338886244645407	0	83.29%	1739.00	Col_BS512__1_pld1
36_R	NZ_CP033766.1	17	2101	1	2085	0.0	3840.0	99.904	99	2101	2101	0.9923845787720134	0	99.24%	2085.00	Col_BS512__1_pld1
36_R	NZ_CP034955.1	1250	2101	1	839	0.0	1478.0	98.239	100	2088	2101	1.0	0	100.00%	2088.00	Col_BS512__1_pld1
36_R	NZ_CP034955.1	1	1249	840	2088	0.0	2296.0	99.84	100	2088	2101	1.0	0	100.00%	2088.00	Col_BS512__1_pld1
36	NZ_CP034961.1	71	2101	1	2031	0.0	3740.0	99.902	97	2101	2101	0.9666825321275584	0	96.67%	2031.00	Col_BS512__1_pld1
36_R	NZ_CP041109.1	1	2020	82	2125	0.0	3598.0	98.631	96	2125	2101	0.9614469300333176	0	96.19%	2044.00	Col_BS512__1_pld1
36	NZ_CP043278.1	161	2101	1	1941	0.0	3574.0	99.897	92	2101	2101	0.9238457877201331	0	92.38%	1941.00	Col_BS512__1_pld1
36_R	NZ_CP043341.1	1358	2101	1	731	0.0	1279.0	97.984	100	2088	2101	1.0	0	100.00%	2088.00	Col_BS512__1_pld1
36_R	NZ_CP043341.1	1	1357	732	2088	0.0	2495.0	99.853	100	2088	2101	1.0	0	100.00%	2088.00	Col_BS512__1_pld1
36_R	NZ_CP043411.1	1	1984	118	2101	0.0	3653.0	99.899	94	2101	2101	0.9443122322703474	0	94.43%	1984.00	Col_BS512__1_pld1
36	NZ_CP045788.1	1	1722	380	2101	0.0	3169.0	99.884	82	2101	2101	0.8196097096620657	0	81.96%	1722.00	Col_BS512__1_pld1
36	NZ_CP046288.1	1	2055	47	2089	0.0	3679.0	99.076	98	2089	2101	0.9781056639695384	0	97.80%	2043.00	Col_BS512__1_pld1
36_R	NZ_CP046422.1	618	2101	1	1496	0.0	2675.0	99.065	71	2113	2101	0.7063303188957639	0	70.80%	1496.00	Col_BS512__1_pld1
36_R	NZ_CP048013.1	1040	2101	1	1049	0.0	1866.0	98.588	100	2088	2101	1.0	0	100.00%	2088.00	Col_BS512__1_pld1
36_R	NZ_CP048013.1	1	1039	1050	2088	0.0	1908.0	99.808	100	2088	2101	1.0	0	100.00%	2088.00	Col_BS512__1_pld1
36	NZ_CP048319.1	189	2101	1	1913	0.0	3517.0	99.843	91	2101	2101	0.9105188005711566	0	91.05%	1913.00	Col_BS512__1_pld1
36_R	NZ_CP048348.1	1	1875	227	2088	0.0	3362.0	99.147	89	2088	2101	0.8924321751546882	0	89.18%	1862.00	Col_BS512__1_pld1
36_R	NZ_CP048366.1	1161	2101	1	941	0.0	1722.0	99.682	100	2101	2101	1.0	0	100.00%	2101.00	Col_BS512__1_pld1
36_R	NZ_CP048366.1	1	1160	942	2101	0.0	2143.0	100.0	100	2101	2101	1.0	0	100.00%	2101.00	Col_BS512__1_pld1
36	NZ_CP048370.1	793	2101	1	1309	0.0	2418.0	100.0	100	2089	2101	1.0	0	100.00%	2089.00	Col_BS512__1_pld1
36	NZ_CP048370.1	1	792	1310	2089	0.0	1375.0	98.235	100	2089	2101	1.0	0	100.00%	2089.00	Col_BS512__1_pld1
36_R	NZ_CP048378.1	1	1909	193	2088	0.0	3424.0	99.162	91	2088	2101	0.90861494526416	0	90.80%	1896.00	Col_BS512__1_pld1
