qseqid	sseqid	qstart	qend	sstart	send	evalue	bitscore	pident	qcovs	slen	qlen	q_perc_aligned	overlapped_bases	coverage_percentage	bases_covered	gene_name
58_R	CP024483.1	1	372	4886	5257	0.0	672.0	100.0	100	243634	372	1.0	0	94.57	230401.0	IncFII_pKP91__1_pld1
56_R	CP024483.1	2	417	5259	5674	0.0	746.0	99.76	100	243634	418	0.9952153110047848	0	94.57	230401.0	IncFII_pKP91__1_pld1
82_R	CP024483.1	1	163	5676	5838	1.28e-77	295.0	100.0	100	243634	163	1.0	0	94.57	230401.0	IncFII_pKP91__1_pld1
53	CP024483.1	1	438	13392	13829	0.0	791.0	100.0	100	243634	438	1.0	0	94.57	230401.0	IncFII_pKP91__1_pld1
65_R	CP024483.1	1	267	13830	14096	7.959999999999996e-134	482.0	100.0	100	243634	267	1.0	0	94.57	230401.0	IncFII_pKP91__1_pld1
42_R	CP024483.1	1	1432	14097	15528	0.0	2583.0	100.0	100	243634	1432	1.0	0	94.57	230401.0	IncFII_pKP91__1_pld1
53_R	CP024483.1	1	438	15529	15966	0.0	791.0	100.0	100	243634	438	1.0	0	94.57	230401.0	IncFII_pKP91__1_pld1
19	CP024483.1	1	38393	15967	54359	0.0	69138.0	99.943	100	243634	38393	1.0	0	94.57	230401.0	IncFII_pKP91__1_pld1
38	CP024483.1	1	2030	54360	56389	0.0	3644.0	99.803	100	243634	2030	1.0	0	94.57	230401.0	IncFII_pKP91__1_pld1
22_R	CP024483.1	1	21725	56390	78114	0.0	39179.0	100.0	100	243634	21725	1.0	0	94.57	230401.0	IncFII_pKP91__1_pld1
46	CP024483.1	1	1108	78156	79263	0.0	1999.0	100.0	100	243634	1108	1.0	0	94.57	230401.0	IncFII_pKP91__1_pld1
79_R	CP024483.1	1	179	79264	79442	2.95e-86	324.0	100.0	100	243634	179	1.0	0	94.57	230401.0	IncFII_pKP91__1_pld1
23	CP024483.1	1	19616	79504	99119	0.0	35376.0	100.0	100	243634	19616	1.0	0	94.57	230401.0	IncFII_pKP91__1_pld1
79	CP024483.1	1	179	99181	99359	2.95e-86	324.0	100.0	100	243634	179	1.0	0	94.57	230401.0	IncFII_pKP91__1_pld1
46_R	CP024483.1	1	1108	99360	100467	0.0	1999.0	100.0	100	243634	1108	1.0	0	94.57	230401.0	IncFII_pKP91__1_pld1
24_R	CP024483.1	1	17994	100509	118505	0.0	32405.0	99.944	100	243634	17994	1.0	0	94.57	230401.0	IncFII_pKP91__1_pld1
58_R	CP024483.1	1	372	118506	118877	0.0	672.0	100.0	100	243634	372	1.0	0	94.57	230401.0	IncFII_pKP91__1_pld1
56_R	CP024483.1	1	418	118878	119295	0.0	755.0	100.0	100	243634	418	1.0	0	94.57	230401.0	IncFII_pKP91__1_pld1
82_R	CP024483.1	1	163	119296	119458	1.28e-77	295.0	100.0	100	243634	163	1.0	0	94.57	230401.0	IncFII_pKP91__1_pld1
65	CP024483.1	1	267	119459	119725	7.959999999999996e-134	482.0	100.0	100	243634	267	1.0	0	94.57	230401.0	IncFII_pKP91__1_pld1
53_R	CP024483.1	1	438	119726	120163	0.0	791.0	100.0	100	243634	438	1.0	0	94.57	230401.0	IncFII_pKP91__1_pld1
