qseqid	sseqid	qstart	qend	sstart	send	evalue	bitscore	pident	qcovs	slen	qlen	q_perc_aligned	overlapped_bases	coverage_percentage	bases_covered	gene_name
218	AP028526.1	3	135	55835	55967	1.9699999999999998e-61	241.0	100.0	98	176362	136	0.9779411764705882	0	34.52%	60884.00	IncFII_1_pKP91_pld1
167_R	AP028526.1	1	265	60412	60676	9.620000000000001e-133	479.0	100.0	100	176362	265	1.0	0	34.52%	60884.00	IncFII_1_pKP91_pld1
149	AP028526.1	1	399	61842	62240	0.0	720.0	100.0	100	176362	399	1.0	0	34.52%	60884.00	IncFII_1_pKP91_pld1
62_R	AP028526.1	1	14055	63535	77589	0.0	25338.0	99.986	100	176362	14055	1.0	0	34.52%	60884.00	IncFII_1_pKP91_pld1
67_R	AP028526.1	3263	11292	95194	103221	0.0	14334.0	99.626	71	176362	11292	0.7111229188806234	0	34.52%	60884.00	IncFII_1_pKP91_pld1
194_R	AP028526.1	1	168	103484	103651	2.5600000000000003e-80	304.0	100.0	100	176362	168	1.0	0	34.52%	60884.00	IncFII_1_pKP91_pld1
69	AP028526.1	1	5862	103796	109657	0.0	10568.0	99.983	100	176362	9650	0.6074611398963731	0	34.52%	60884.00	IncFII_1_pKP91_pld1
44_R	AP028526.1	712	28596	115442	143326	0.0	49008.0	98.986	88	176362	31816	0.8764458134272064	0	34.52%	60884.00	IncFII_1_pKP91_pld1
155_R	AP028526.1	1	363	146528	146890	0.0	655.0	100.0	100	176362	363	1.0	0	34.52%	60884.00	IncFII_1_pKP91_pld1
143_R	AP028526.1	3	450	147260	147707	0.0	768.0	97.991	99	176362	450	0.9955555555555556	0	34.52%	60884.00	IncFII_1_pKP91_pld1
138	AP028526.1	1	480	147889	148368	0.0	853.0	99.375	100	176362	480	1.0	0	34.52%	60884.00	IncFII_1_pKP91_pld1
88	AP028526.1	1	2791	148598	151395	0.0	4881.0	98.714	100	176362	2791	1.0	0	34.52%	60884.00	IncFII_1_pKP91_pld1
159_R	AP028563.1	1	330	3402	3731	6.34e-168	596.0	100.0	100	200434	330	1.0	0	47.39%	94984.00	IncFII_1_pKP91_pld1
127	AP028563.1	1	579	4602	5180	0.0	1045.0	100.0	100	200434	579	1.0	0	47.39%	94984.00	IncFII_1_pKP91_pld1
230_R	AP028563.1	2	94	5182	5274	9.17e-40	168.0	100.0	74	200434	125	0.744	0	47.39%	94984.00	IncFII_1_pKP91_pld1
125_R	AP028563.1	1	667	5274	5940	0.0	1204.0	100.0	100	200434	667	1.0	0	47.39%	94984.00	IncFII_1_pKP91_pld1
130_R	AP028563.1	1	556	6433	6988	0.0	1003.0	100.0	100	200434	556	1.0	0	47.39%	94984.00	IncFII_1_pKP91_pld1
72_R	AP028563.1	1	5564	6989	12561	0.0	9166.0	96.537	100	200434	8377	0.6641995941267756	0	47.39%	94984.00	IncFII_1_pKP91_pld1
159_R	AP028563.1	1	330	13543	13872	6.34e-168	596.0	100.0	100	200434	330	1.0	0	47.39%	94984.00	IncFII_1_pKP91_pld1
96_R	AP028563.1	1	1881	18371	20242	0.0	3349.0	99.522	97	200434	1943	0.968090581574884	8	47.39%	94984.00	IncFII_1_pKP91_pld1
50	AP028563.1	1	22105	20243	42343	0.0	38349.0	98.48	100	200434	22105	1.0	0	47.39%	94984.00	IncFII_1_pKP91_pld1
159	AP028563.1	1	330	45524	45853	6.34e-168	596.0	100.0	100	200434	330	1.0	0	47.39%	94984.00	IncFII_1_pKP91_pld1
242	AP028563.1	1	102	51795	51896	9.01e-45	185.0	100.0	100	200434	102	1.0	0	47.39%	94984.00	IncFII_1_pKP91_pld1
160_R	AP028563.1	1	328	52033	52360	3.2599999999999997e-165	588.0	99.695	100	200434	328	1.0	0	47.39%	94984.00	IncFII_1_pKP91_pld1
83_R	AP028563.1	1	4266	59445	63710	0.0	7694.0	100.0	100	200434	4266	1.0	0	47.39%	94984.00	IncFII_1_pKP91_pld1
101_R	AP028563.1	1	1495	64770	66264	0.0	2697.0	100.0	95	200434	1576	0.9486040609137056	0	47.39%	94984.00	IncFII_1_pKP91_pld1
110	AP028563.1	1	1140	69713	70852	0.0	2052.0	99.912	100	200434	1140	1.0	0	47.39%	94984.00	IncFII_1_pKP91_pld1
136	AP028563.1	1	441	96151	96592	0.0	785.0	99.548	89	200434	497	0.8873239436619719	0	47.39%	94984.00	IncFII_1_pKP91_pld1
67_R	AP028563.1	3263	6616	96998	100349	0.0	5637.0	97.379	69	200434	11292	0.6916400991852638	0	47.39%	94984.00	IncFII_1_pKP91_pld1
67_R	AP028563.1	6837	11292	100349	104804	0.0	8037.0	100.0	69	200434	11292	0.6916400991852638	0	47.39%	94984.00	IncFII_1_pKP91_pld1
194_R	AP028563.1	1	168	105067	105234	2.5600000000000003e-80	304.0	100.0	100	200434	168	1.0	0	47.39%	94984.00	IncFII_1_pKP91_pld1
69	AP028563.1	1	5392	105379	110770	0.0	9725.0	100.0	94	200434	9650	0.9390673575129532	0	47.39%	94984.00	IncFII_1_pKP91_pld1
69	AP028563.1	5981	9650	111962	115631	0.0	6574.0	99.728	94	200434	9650	0.9390673575129532	0	47.39%	94984.00	IncFII_1_pKP91_pld1
157	AP028563.1	1	339	151641	151979	8.500000000000001e-173	612.0	100.0	100	200434	339	1.0	0	47.39%	94984.00	IncFII_1_pKP91_pld1
78_R	AP028563.1	1	4645	152155	156799	0.0	8364.0	99.935	96	200434	4825	0.9626943005181348	0	47.39%	94984.00	IncFII_1_pKP91_pld1
76	AP028563.1	1	5592	159429	165020	0.0	10081.0	99.982	100	200434	5592	1.0	0	47.39%	94984.00	IncFII_1_pKP91_pld1
55	AP028563.1	1	13954	165013	178967	0.0	24937.0	99.642	73	200434	19021	0.7336102202828453	0	47.39%	94984.00	IncFII_1_pKP91_pld1
54	AP028563.1	2	13210	183856	197076	0.0	22661.0	98.005	69	200434	19252	0.6861105339704966	0	47.39%	94984.00	IncFII_1_pKP91_pld1
52	CP006657.1	1	18063	1663	19718	0.0	32397.0	99.779	92	317154	19616	0.9208299347471453	0	22.51%	71392.00	IncFII_1_pKP91_pld1
74_R	CP006657.1	2156	6364	29727	33935	0.0	7591.0	100.0	99	317154	6379	0.6598212886032293	0	22.51%	71392.00	IncFII_1_pKP91_pld1
214	CP006657.1	1	140	46541	46680	3.25e-65	253.0	100.0	100	317154	140	1.0	0	22.51%	71392.00	IncFII_1_pKP91_pld1
236_R	CP006657.1	1	111	46837	46947	1.32e-49	201.0	100.0	100	317154	111	1.0	0	22.51%	71392.00	IncFII_1_pKP91_pld1
182	CP006657.1	2	192	46949	47139	5.8e-83	314.0	96.335	100	317154	192	0.9947916666666666	0	22.51%	71392.00	IncFII_1_pKP91_pld1
222_R	CP006657.1	1	135	47140	47274	1.61e-62	244.0	100.0	100	317154	135	1.0	0	22.51%	71392.00	IncFII_1_pKP91_pld1
234	CP006657.1	1	124	47328	47451	5.72e-55	220.0	99.194	100	317154	124	1.0	0	22.51%	71392.00	IncFII_1_pKP91_pld1
214	CP006657.1	1	140	48616	48755	7.159999999999999e-61	240.0	97.857	100	317154	140	1.0	0	22.51%	71392.00	IncFII_1_pKP91_pld1
236_R	CP006657.1	6	110	48917	49021	2.39e-46	190.0	100.0	100	317154	111	0.945945945945946	0	22.51%	71392.00	IncFII_1_pKP91_pld1
182	CP006657.1	2	192	49024	49214	5.09e-71	273.0	91.623	100	317154	192	0.9947916666666666	0	22.51%	71392.00	IncFII_1_pKP91_pld1
241	CP006657.1	1	103	49300	49402	2.62e-45	187.0	100.0	100	317154	103	1.0	0	22.51%	71392.00	IncFII_1_pKP91_pld1
234	CP006657.1	1	124	49403	49526	5.72e-55	220.0	99.194	100	317154	124	1.0	0	22.51%	71392.00	IncFII_1_pKP91_pld1
214	CP006657.1	1	140	126494	126633	3.25e-65	253.0	100.0	100	317154	140	1.0	0	22.51%	71392.00	IncFII_1_pKP91_pld1
236_R	CP006657.1	1	111	126790	126900	1.32e-49	201.0	100.0	100	317154	111	1.0	0	22.51%	71392.00	IncFII_1_pKP91_pld1
182	CP006657.1	2	192	126902	127092	5.8e-83	314.0	96.335	100	317154	192	0.9947916666666666	0	22.51%	71392.00	IncFII_1_pKP91_pld1
222_R	CP006657.1	1	135	127093	127227	1.61e-62	244.0	100.0	100	317154	135	1.0	0	22.51%	71392.00	IncFII_1_pKP91_pld1
234	CP006657.1	1	124	127281	127404	1.34e-56	224.0	100.0	100	317154	124	1.0	0	22.51%	71392.00	IncFII_1_pKP91_pld1
140	CP006657.1	1	478	165669	166146	0.0	863.0	100.0	100	317154	478	1.0	0	22.51%	71392.00	IncFII_1_pKP91_pld1
