new_sseqid	sseqid	coverage_percentage	bases	type
SRR18543877_IncR	NZ_CP137437.1	53.35	94089.0	replicon
SRR18543877_Col440I_2	LR890623.1	100.0	3549.0	replicon
SRR18543877_IncFII_1_pKP91	NZ_CP040862.1	75.71	216642.0	replicon
SRR18543877_Col440I	NZ_CP143284.1	94.4	7853.0	replicon
SRR18543877_circular_89	-	100.00%	2671.0	circular
