qseqid	sseqid	qstart	qend	sstart	send	evalue	bitscore	pident	qcovs	slen	qlen	q_perc_aligned	overlapped_bases	coverage_percentage	bases_covered	gene_name
105	LC746220.1	1	1380	37539	38918	0.0	2489.0	100.0	100	145941	1380	1.0	0	16.98%	24777.00	IncR_1_pld1
150_R	LC746220.1	1	397	39791	40187	0.0	690.0	98.489	100	145941	397	1.0	0	16.98%	24777.00	IncR_1_pld1
218_R	LC746220.1	2	131	41289	41418	8.400000000000002e-60	235.0	100.0	96	145941	136	0.9558823529411764	0	16.98%	24777.00	IncR_1_pld1
92_R	LC746220.1	10	2249	41428	43667	0.0	4018.0	99.777	99	145941	2249	0.9959982214317474	0	16.98%	24777.00	IncR_1_pld1
34_R	LC746220.1	5862	19708	51023	64866	0.0	24558.0	99.365	31	145941	43967	0.3149407510178088	0	16.98%	24777.00	IncR_1_pld1
220_R	LC746220.1	4	135	89494	89627	1.32e-44	186.0	91.791	100	145941	135	0.9777777777777776	0	16.98%	24777.00	IncR_1_pld1
157_R	LC746220.1	1	339	89668	90006	8.500000000000001e-173	612.0	100.0	100	145941	339	1.0	0	16.98%	24777.00	IncR_1_pld1
129	LC746220.1	1	558	90007	90564	0.0	998.0	99.642	100	145941	558	1.0	0	16.98%	24777.00	IncR_1_pld1
220_R	LC746220.1	1	135	92878	93012	6.83e-61	240.0	99.259	100	145941	135	1.0	0	16.98%	24777.00	IncR_1_pld1
157_R	LC746220.1	1	339	93053	93390	2.28e-167	595.0	99.115	100	145941	339	1.0	0	16.98%	24777.00	IncR_1_pld1
78	LC746220.1	1	4825	100001	104809	0.0	8527.0	99.171	100	145941	4825	1.0	0	16.98%	24777.00	IncR_1_pld1
220_R	LC746220.1	1	135	104810	104944	1.61e-62	244.0	100.0	100	145941	135	1.0	0	16.98%	24777.00	IncR_1_pld1
157_R	LC746220.1	1	339	104985	105322	2.78e-166	590.0	98.82	100	145941	339	1.0	0	16.98%	24777.00	IncR_1_pld1
100_R	NZ_CP024642.1	5	702	75424	76122	0.0	1091.0	94.707	41	144739	1723	0.4051073708647707	0	12.56%	18181.00	IncR_1_pld1
150_R	NZ_CP024642.1	1	397	112612	113008	0.0	717.0	100.0	100	144739	397	1.0	0	12.56%	18181.00	IncR_1_pld1
181	NZ_CP024642.1	1	196	113163	113358	1.9399999999999998e-95	354.0	100.0	100	144739	196	1.0	0	12.56%	18181.00	IncR_1_pld1
188	NZ_CP024642.1	1	183	113359	113541	2.04e-88	331.0	100.0	100	144739	183	1.0	0	12.56%	18181.00	IncR_1_pld1
242	NZ_CP024642.1	1	102	113543	113644	9.01e-45	185.0	100.0	100	144739	102	1.0	0	12.56%	18181.00	IncR_1_pld1
160_R	NZ_CP024642.1	1	328	113781	114108	7.67e-167	592.0	100.0	100	144739	328	1.0	0	12.56%	18181.00	IncR_1_pld1
218_R	NZ_CP024642.1	2	135	114110	114239	2.41e-60	238.0	99.254	99	144739	136	0.9852941176470588	4	12.56%	18181.00	IncR_1_pld1
92_R	NZ_CP024642.1	1	1640	114240	115879	0.0	2958.0	100.0	73	144739	2249	0.7292129835482437	0	12.56%	18181.00	IncR_1_pld1
106	NZ_CP024642.1	1	1369	115879	117247	0.0	2429.0	99.343	100	144739	1369	1.0	0	12.56%	18181.00	IncR_1_pld1
